index,balance
526,4119.83694643434
527,4133.868478114582
528,4118.859097636235
529,4077.6705066598724
530,4314.39190952435
531,4271.247990429107
532,4263.286470245435
533,4256.8586979076845
534,4247.520765005726
535,4247.696209894822
536,4247.949350312574
537,4223.197120068365
538,4180.965148867681
539,4161.26714956112
540,4153.659176287681
541,4153.932803374392
542,4125.927592243873
543,4109.6166475845075
544,4106.774589045376
545,4136.1668093582575
546,4109.049667749974
547,4191.2306611049735
548,4191.428081296264
549,4179.6497190770015
550,4137.853221886231
551,4096.474689667369
552,4242.30028323975
553,4229.9302615409915
554,4212.829299529924
555,4198.1700235933495
556,4156.188323357416
557,4131.186969756646
558,4141.902842060827
559,4235.2567865436395
560,4192.904218678203
561,4150.975176491421
562,4295.9272296545005
563,4252.967957357955
564,4338.027316505114
565,4294.647043340063
566,4277.38181963557
567,4234.608001439214
568,4235.458324331069
569,4193.103741087758
570,4276.965815909513
571,4319.735474068609
572,4276.538119327923
573,4233.772738134643
574,4191.435010753296
575,4243.347279235106
576,4458.783995835758
577,4547.959675752473
578,4546.081048759406
579,4558.739911100967
580,4544.00308657202
581,4498.5630557063
582,4453.577425149237
583,4409.041650897744
584,4364.951234388766
585,4350.702821344821
586,4326.97839234154
587,4318.406975130004
588,4336.620933186134
589,4328.018309869377
590,4316.508898297425
591,4273.3438093144505
592,4271.722599114417
593,4257.354954255093
594,4239.794641254328
595,4197.396694841785
596,4197.760420725219
597,4185.288813678137
598,4366.893653351877
599,4323.2247168183585
600,4322.411681916586
601,4328.751219050065
602,4297.180920141344
603,4304.489365624471
604,4307.7189377129025
605,4311.263831422062
606,4299.27196186209
607,4275.539093422577
608,4289.407924646924
609,4246.513845400455
610,4217.045402348904
611,4301.386310395882
612,4258.372447291923
613,4215.788722819004
614,4216.261875313147
615,4196.285952945092
616,4238.248812474542
617,4228.9443778722725
618,4226.625767128743
619,4230.836403138874
620,4252.039103920658
621,4209.518712881451
622,4167.423525752637
623,4177.49757121968
624,4170.05556452715
625,4128.355008881878
626,4087.0714587930597
627,7163.818852972502
628,7307.095230031952
629,7234.0242777316325
630,7161.684034954316
631,7090.067194604773
632,7102.016746056357
633,7030.996578595794
634,6960.686612809835
635,6891.079746681737
636,6876.247342414149
637,6807.484868990007
638,6739.410020300107
639,7096.609745519625
640,7087.927722958616
641,7017.0484457290295
642,7157.3894146436105
643,7123.215568690553
644,7051.983413003647
645,7025.812432512972
646,7034.390459320111
647,6964.0465547269105
648,6954.315770177031
649,6957.25008062858
650,6887.677579822294
651,6866.102480188694
652,6885.732959354128
653,6863.729945037269
654,6848.291768261199
655,6779.808850578586
656,6720.894649532182
657,6765.013097194155
658,6832.663228166097
659,6834.3974066504015
660,6766.053432583897
661,6698.392898258058
662,6832.360756223219
663,6900.684363785452
